station,district,datetime,timestamp_epoch,rainfall_t0,rainfall_t_minus_1,rainfall_t_minus_2,rainfall_t_minus_3,rainfall_t_minus_4,rainfall_rolling_3h_mean,rainfall_rolling_6h_sum,rainfall_delta_1h,rainfall_acceleration,latitude,longitude,district_flooded_area_pct,district_permanent_water_pct,district_mean_flood_duration,district_hist_event_density,live_report_corroboration,volunteer_verified_weight,target_risk_15m,target_risk_30m,target_risk_60m,target_class_15m,target_class_30m,target_class_60m
SGSWRDC Campus (Tharamani site),chennai,2026-01-01 06:00,1767247200.0,0.5,1.5,2.0,0.5,0.5,1.3333333333333333,5.0,-1.0,-0.5,12.98583333,80.245,3.572786193,1.072848464,8.0,57,0.0,0.0,0.11593358579,0.14980942151690477,0.18291144772000004,0,0,0
SGSWRDC Campus (Tharamani site),chennai,2026-01-01 07:00,1767250800.0,4.0,0.5,1.5,2.0,0.5,2.0,9.0,3.5,4.5,12.98583333,80.245,3.572786193,1.072848464,8.0,57,0.0,0.0,0.21801691912333332,0.20899037389785716,0.21491144772000004,0,0,0
SGSWRDC Campus (Tharamani site),chennai,2026-01-01 08:00,1767254400.0,2.5,4.0,0.5,1.5,2.0,2.3333333333333335,11.0,-1.5,-5.0,12.98583333,80.245,3.572786193,1.072848464,8.0,57,0.0,0.0,0.15093358579,0.16838085008833334,0.23091144772000002,0,0,0
SGSWRDC Campus (Tharamani site),chennai,2026-01-01 09:00,1767258000.0,0.5,2.5,4.0,0.5,1.5,2.3333333333333335,11.0,-2.0,-0.5,12.98583333,80.245,3.572786193,1.072848464,8.0,57,0.0,0.0,0.11593358579,0.16838085008833334,0.23091144772000002,0,0,0
LBP Quarters Campus,erode,2026-01-01 16:00,1767283200.0,0.5,3.5,2.5,1.5,0.5,2.1666666666666665,8.5,-3.0,-4.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.06313916335809523,0.09417264927999999,0,0,0
LBP Quarters Campus,erode,2026-01-01 17:00,1767286800.0,1.5,0.5,3.5,2.5,1.5,1.8333333333333333,10.0,1.0,4.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.057546153626666666,0.09854868716761905,0.10617264928,0,0,0
LBP Quarters Campus,erode,2026-01-01 18:00,1767290400.0,1.0,1.5,0.5,3.5,2.5,1.0,10.5,-0.5,-1.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.03712948696,0.041472496691428565,0.11017264928,0,0,0
LBP Quarters Campus,erode,2026-01-01 19:00,1767294000.0,0.5,1.0,1.5,0.5,3.5,1.0,9.5,-0.5,0.0,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.041472496691428565,0.10217264928,0,0,0
LBP Quarters Campus,erode,2026-01-01 20:00,1767297600.0,0.5,0.5,1.0,1.5,0.5,0.6666666666666666,7.5,0.0,0.5,11.33527778,77.7375,0.654316232,0.635350328,6.0,17,0.0,0.0,0.02837948696,0.04048202050095238,0.08617264928,0,0,0
Karuppanadhi Dam,tenkasi,2026-01-02 01:00,1767315600.0,7.5,13.0,8.0,4.0,9.5,9.5,42.0,-5.5,-10.5,9.13361111,77.31055556,0.407407146,0.050554592,11.0,7,0.0,0.0,0.14347221437999996,0.19068782153857144,0.35229628584,0,0,0
Sivagiri,tenkasi,2026-01-02 02:00,1767319200.0,1.0,6.5,38.0,46.5,71.0,15.166666666666666,163.0,-5.5,26.0,9.34666667,77.43361111,0.407407146,0.050554592,11.0,7,0.0,0.0,0.029722214379999997,0.5663259167766665,1.0,0,1,1
Karuppanadhi Dam,tenkasi,2026-01-02 02:00,1767319200.0,13.0,7.5,13.0,8.0,4.0,11.166666666666666,55.0,5.5,11.0,9.13361111,77.31055556,0.407407146,0.050554592,11.0,7,0.0,0.0,0.30388888104666667,0.3360402024909524,0.4562962858399999,0,0,0
